President,Term,rate
Woodrow Wilson,2,-8.202232489
Warren G. Harding,1,4.856157404
Calvin Coolidge,1,-8.260999265
Herbert Hoover,1,3.993408699
Franklin D. Roosevelt,1,40.18082849
Franklin D. Roosevelt,2,0.008314139
Franklin D. Roosevelt,3,-1.740320418
Franklin D. Roosevelt,4,4.379490023
Harry S. Truman,1,1.156092068
Dwight D. Eisenhower,1,-1.527783467
Dwight D. Eisenhower,2,-3.381886323
John F. Kennedy,1,2.141328022
Lyndon B. Johnson,1,1.326084206
Richard Nixon,1,-4.855756022
Richard Nixon,2,-5.076686506
Jimmy Carter,1,-2.882100196
Ronald Reagan,1,1.830467563
Ronald Reagan,2,-0.684029556
George Bush,1,-0.055888152
William J. Clinton,1,-0.42997543
William J. Clinton,2,0.112196834
George W. Bush,1,-0.034587361
George W. Bush,2,-0.639820095
Barack Obama,1,-0.401
Barack Obama,2,0.46
Donald J. Trump,1,0.48
